Nama Makanan / Minuman,Asin/Manis,Makanan/Minuman,Restoran,Harga,Lokasi (Gmaps),Alamat,Foto
Ubi Madu Asli Cilembu,Sweet,Food,"Restoran Ubi Madu Cilembu, Blimbing, Kota Malang",34000,https://maps.app.goo.gl/92NH8oUia4zJP8PB9,"Jl Sulfat 38, Purwantoro Blimbing Malang Jawa Timur",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/9/22/8b14fc01-694c-48e9-9461-8fd289c24e1e.jpg
Donat Kentang Celaket,Sweet,Food,"Donat Kentang Celaket, Jaksa Agung Suprapto",30500,https://maps.app.goo.gl/miyKTWBgGmj5aS4U8,"Jl. Jaksa Agung Suprapto, Gang 1 No. 34, Rampal Celaket, Malang",https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/9f1248aa-2f28-463c-9c11-726d77938cd9_Go-Biz_20220808_114504.jpeg
Queen Apple,Sweet,Food,"Queen Apple, Kawi",65000,https://maps.app.goo.gl/5aUyYtWv9Z8LHNio8,"Jl. Kawi Atas No. 23, Gading Kasri, Klojen, Malang
",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZH1ZkEP8-pQI6bFEzpJBbzANr33D4FiIkrQ&s
Lapis Kukus,Sweet,Food,"Lapis Kukus Tugu Malang, Mawar",42500,https://maps.app.goo.gl/yPUPtywnpDE7hpke6,"Mawar Gg. I/A No.11, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",https://paxelmarket.co/wp-content/uploads/2021/04/lapis-kukus-pahlawan-original.jpg
Fluffy Bread,Sweet,Food,"Keikpop by The Food Chain, Malang R. Suprapto",59000,https://maps.app.goo.gl/pNHm9Bz1qBrqF84A6,"Jl. Jaksa Agung Suprapto No. 52, Klojen, Malang",https://images.tokopedia.net/img/cache/700/VqbcmM/2021/11/22/c8d2cac1-0aa8-4a38-8c09-fc3b3d440e67.jpg
Sego Mawut,Salty,Food,Sego Goreng Jowo Khas Kediri,17000,https://maps.app.goo.gl/mSn4rVwVv9giwzT6A,"Jl. Sulfat, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur",https://asset.kompas.com/crops/9JTuUKTwQZ5zg5yA2hwVsHb0ajE=/18x0:986x645/750x500/data/photo/2021/03/06/6042f87ebac6e.jpg
Soto Ayam Madura,Salty,Food,Warung Soto Madura,20000,https://maps.app.goo.gl/hvBu8YvLtNpoPE2L6,Jl. Lembang No. 131 Samaan Klojen Malang,https://asset.kompas.com/crops/uKBF7EnR2gcF4btwn_Iwlw9TZd4=/0x0:1000x667/750x500/data/photo/2020/07/20/5f15325e9dc87.jpg
Nasi Bakmoy,Salty,Food,Bubur Ayam dan Bakmoy Jempol,27000,https://maps.app.goo.gl/fA9Ec7jc4uzfeZpW8,"Jl. Danau Bratan Raya Blok. H2 No. E58, Kedungkandang, Malang",https://asset.kompas.com/crops/J23k3Yj7Uks_yosRKfBZRDtxogs=/43x45:657x454/750x500/data/photo/2023/03/04/64031b12dc635.jpg
Nasi Jagung,Salty,Food,Nasi Jagung Bu Yati,15500,https://maps.app.goo.gl/KuvB7zgYtJPuJcUi7,"Jl. J.Agung Suprapto IIB No.279, Samaan, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia",https://kurio-img.kurioapps.com/21/04/12/0510e468-c982-4a3e-b968-a2f92576c08d.jpe
Sate Kambing,Salty,Food,Warung SATE Madura Utama,35000,https://maps.app.goo.gl/oEhvtxMFBvdYT7PT9,"Jl. Tawangmangu (Pasar Tawangmangu Pintu Sebelah Selatan), Lowokwaru, Malang",https://cdn1-production-images-kly.akamaized.net/HuNKLV5OnQXNM7rpkJQxipT1zzE=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/4485302/original/008851000_1687970322-aa.jpg
Es Podeng Jadoel,Sweet,Beverage,DAPUR RUMAISHA 'Es Podeng Jadoel',15000,https://maps.app.goo.gl/UB2QU52cRNJaHxHA8,"Jl. Bantaran Indah No. 14 Tulusrejo, Lowokwaru, Malang",https://aboutsemarang.id/wp-content/uploads/2024/03/429470113_862377558981565_3474112302485042474_n.jpg
